gradeId,enrollmentId,studentId,courseId,assignmentType,assignmentName,maxPoints,earnedPoints,percentage,letterGrade,gradeDate,semester,year,professorId,comments,isFinalized,createdAt,updatedAt
GRD001,ENR051,STU123456,CRS006,MIDTERM,Midterm Exam,100,87,87.0,B+,2023-10-15,Fall,2023,PROF12346,Excellent understanding of derivatives,true,2023-10-15T14:30:00,2023-10-15T14:30:00
GRD002,ENR051,STU123456,CRS006,ASSIGNMENT,Homework 1,50,45,90.0,A-,2023-09-05,Fall,2023,PROF12346,Well-organized solutions,true,2023-09-05T16:20:00,2023-09-05T16:20:00
GRD003,ENR051,STU123456,CRS006,ASSIGNMENT,Homework 2,50,42,84.0,B,2023-09-20,Fall,2023,PROF12346,Good work but minor calculation errors,true,2023-09-20T15:45:00,2023-09-20T15:45:00
GRD004,ENR051,STU123456,CRS006,FINAL,Final Exam,150,128,85.3,B,2023-12-10,Fall,2023,PROF12346,Solid grasp of integration techniques,true,2023-12-10T11:30:00,2023-12-10T11:30:00
GRD005,ENR051,STU123456,CRS006,PARTICIPATION,Class Participation,25,23,92.0,A-,2023-12-15,Fall,2023,PROF12346,Active participation throughout semester,true,2023-12-15T17:00:00,2023-12-15T17:00:00
GRD006,ENR052,STU123457,CRS006,MIDTERM,Midterm Exam,100,78,78.0,C+,2022-10-12,Fall,2022,PROF12346,Needs improvement in limit concepts,true,2022-10-12T14:30:00,2022-10-12T14:30:00
GRD007,ENR052,STU123457,CRS006,ASSIGNMENT,Homework 1,50,38,76.0,C+,2022-09-02,Fall,2022,PROF12346,Adequate but could show more work,true,2022-09-02T16:20:00,2022-09-02T16:20:00
GRD008,ENR052,STU123457,CRS006,ASSIGNMENT,Homework 2,50,41,82.0,B-,2022-09-18,Fall,2022,PROF12346,Improvement noted,true,2022-09-18T15:45:00,2022-09-18T15:45:00
GRD009,ENR052,STU123457,CRS006,FINAL,Final Exam,150,115,76.7,C+,2022-12-08,Fall,2022,PROF12346,Basic understanding demonstrated,true,2022-12-08T11:30:00,2022-12-08T11:30:00
GRD010,ENR052,STU123457,CRS006,PARTICIPATION,Class Participation,25,20,80.0,B-,2022-12-20,Fall,2022,PROF12346,Regular attendance good participation,true,2022-12-20T16:30:00,2022-12-20T16:30:00
GRD011,ENR053,STU123458,CRS001,MIDTERM,Midterm Exam,100,94,94.0,A,2021-10-20,Fall,2021,PROF12345,Exceptional programming logic,true,2021-10-20T14:30:00,2021-10-20T14:30:00
GRD012,ENR053,STU123458,CRS001,ASSIGNMENT,Project 1,75,71,94.7,A,2021-09-15,Fall,2021,PROF12345,Clean code excellent documentation,true,2021-09-15T16:20:00,2021-09-15T16:20:00
GRD013,ENR053,STU123458,CRS001,ASSIGNMENT,Project 2,75,68,90.7,A-,2021-10-05,Fall,2021,PROF12345,Creative solution well-implemented,true,2021-10-05T15:45:00,2021-10-05T15:45:00
GRD014,ENR053,STU123458,CRS001,FINAL,Final Project,200,185,92.5,A-,2021-12-12,Fall,2021,PROF12345,Outstanding final project demonstrates mastery,true,2021-12-12T11:30:00,2021-12-12T11:30:00
